//create for me
English-Ukraine:s'elp = [] =  (скор. від so help me god) слово честі!; їй-богу! ||>  ||< 
English-Ukraine:mother = ['mʌðə] =  1. n 1) мати, мама, матуся; expectant mother майбутня мати; queen m. королева-вдова; m.'s day амер. день матері (друга неділя травня); 2) початок, джерело; mother of all vices джерело усіх пороків; 3) інкубатор; 4) хім. маточний розчин; ? mother bee бджолина матка; mother cell біол. материнська клітина; mother country а) батьківщина, вітчизна; б) метрополія (стосовно колоній); mother's help хатня робітниця, нянька; mother love материнська любов; mother missile ракета-носій; mother ship мор. а) плавуча база; б) ав. літак-носій; в) космічний корабель-носій; mother tongue а) рідна мова; б) лінгв. прамова; mother tree насінник, насіннєносець; mother wit природний розум; здоровий глузд; кмітливість; mother naked голий, у чому мати народила 2. v 1) ставитися по-материнському; охороняти; пестити; 2) усиновляти; брати на виховання; 3) вигодовувати (тж mother upon); 4) рідк. бути матір'ю, народити; to mother six children народити шестеро дітей; 5) породжувати, викликати до життя; 6) визнавати себе матір'ю; 7) приписувати материнство; 8) визнавати себе автором; 9) приписувати авторство (комусь — on, upon). ||>  ||< 
Ukraine-English:і = [а] =  and ||>  ||< 
Ukraine-English:саботувати = [] =  sabotage ||>  ||< 
Ukraine-English:рабини = [] =  rabbis ||>  ||< 
Ukraine-English:м'язистий = [] = muscular nervous rangy thewed sinewy ||>  ||< 
Ukraine-English:іврит = [] =  neo-hebraic ||>  ||< 
Ukraine-English:вабливий = [] =  attractive ||>  ||< 
English-Ukraine:V-girl = [] =  n (скор. від victory girl) солдатська утішниця. ||>  ||< 
English-Ukraine:re-allot = [] =  v 1) перерозподіляти; 2) військ. перепідпорядковувати. ||>  ||< 
English-Ukraine:baa-lamb = ['bɑ:læm] =  n дит. баранчик, баранець, баранча. ||>  ||< 
English-Ukraine:Saar = [] =  n геогр. н. р. саар. ||>  ||< 
English-Ukraine:s = [es] =  n 19-та літера англійського алфавіту. ||>  ||< 
